,Leaning,Source,Topic,Allsides,ArticleUrl,md5,notes
36,L,HuffPost,Confidence in police,https://www.allsides.com/story/family-demands-justice-after-police-killing-atatiana-jefferson,https://www.huffpost.com/entry/atatiana-jefferson-nephew-witnessed-killing_n_5da45a63e4b06ddfc51d83f7,64344CCE9AF46016C13F958357FDB23E,
37,L,HuffPost,Environment,https://www.allsides.com/story/trump-administration-proposes-plan-roll-back-clean-water-regulations,https://www.huffingtonpost.com/entry/trump-water-rule_us_5c0fd3c4e4b08bcb27ecdc80,89EE26348623A0BD0B7F762AF15F2CD1,
38,L,HuffPost,Federal Govt Power,https://www.allsides.com/story/white-house-announces-it-will-not-comply-impeachment-inquiry,https://www.huffpost.com/entry/white-house-accuses-democrats-impeachment-overturn-election_n_5d9cfd31e4b02c9da0406582,F8DE37A2B09A56AD26A849F0A76BA458,
39,R,MarketWatch,Global warming,https://www.allsides.com/story/global-climate-strike,,,
40,R,MarketWatch,Foreign trade,https://www.allsides.com/story/trade-war-slows-wall-street-recovers,,,
41,L,Media Matters,Trust in mass media,https://www.allsides.com/story/media-bias-watch,,,
42,L,Mother Jones,Immigration,https://www.allsides.com/story/alexandria-ocasio-cortez-compares-detention-centers-illegal-immigrants-concentration-camps,,,
43,L,Mother Jones,Federal Govt Power,https://www.allsides.com/story/rep-collins-resigns-ahead-guilty-plea,,,
44,L,MSNBC,Immigration,https://www.allsides.com/story/statue-liberty-poem-revised,,,
45,R,National Review,Federal Govt Power,https://www.allsides.com/story/rep-collins-resigns-ahead-guilty-plea,,,
46,R,National Review,Israel,https://www.allsides.com/story/us-blocks-united-nations-resolution-calling-probe-gaza-violence,,,
47,L,NBCNews,Abortion,https://www.allsides.com/story/judge-rules-clinicians-cannot-object-abortions-moral-or-religious-grounds,,,
48,L,NBCNews,Foreign trade,https://www.allsides.com/story/trade-war-slows-wall-street-recovers,,,
49,L,New Republic,Death penalty,https://www.allsides.com/story/pope-francis-declares-death-penalty-inadmissible-all-cases-changing-catholic-church-teaching,,,
50,R,New York Post,Global warming,https://www.allsides.com/story/green-new-deal-dies-senate,,,
51,L,New York Times,Trust in mass media,https://www.allsides.com/story/distorted-videos-nancy-pelosi-spread-across-social-media,https://www.nytimes.com/2019/05/24/us/politics/pelosi-doctored-video.html,4899E999D00C0DA4DD1FC6BDDBDDBF1B,
52,L,New York Times,Environment,https://www.allsides.com/story/federal-judge-finds-trumps-order-oil-drilling-open-arctic-waters-unlawful,https://www.nytimes.com/2019/03/30/climate/trump-oil-drilling-arctic.html,C13EDD24CA292DD25A6EA03DF46BB6FB,
53,L,New York Times,Abortion,https://www.allsides.com/story/multiple-abortion-related-bills-move-through-state-legislatures,https://www.nytimes.com/2019/05/10/us/abortion-laws-alabama-georgia.html,58AEB0811B83E2A2051664DA1B5CCE6A,
54,L,New York Times,Healthcare,https://www.allsides.com/story/president-trump-unveil-executive-order-expand-medicare,https://www.nytimes.com/2019/10/03/us/politics/medicare-executive-order.html,FF35C2609E3B9FCEFFB8AB7EE33C2BC6,
55,L,New York Times,Death penalty,https://www.allsides.com/story/president-trump-unveils-plan-address-opioid-crisis,https://www.nytimes.com/2018/03/19/us/politics/trump-new-hampshire-opioid-plan.html,122A06FD2F72906D2002C8DB38DE9A2A,
56,L,New York Times,Immigration,https://www.allsides.com/story/trump-denies-family-separation-reports-blames-obama-policy,https://www.nytimes.com/2019/04/08/us/politics/trump-asylum-seekers-federal-judge.html,5A4C4E2AC427AF9D3FD22D6B95AD54FB,
57,L,New York Times,Israel,https://www.allsides.com/story/us-blocks-united-nations-resolution-calling-probe-gaza-violence,https://www.nytimes.com/2018/05/15/world/middleeast/israel-gaza-protests.html,676E8013FF7447E1F8032B93DBA7C135,
58,R,Newsmax,Confidence in police,https://www.allsides.com/story/doj-cleveland-police-reach-deal,http://www.newsmax.com/Newsfront/US-Cleveland-Police-Settlement/2015/05/26/id/646686/,E4BDF04F5CD7FD7C77EFDE55ADAB41EC,
59,R,NewsMax,Taxes on upper-income,https://www.allsides.com/story/millionaires-tell-congress-raise-taxes-rich,,,
60,C,NPR Online News,Global warming,https://www.allsides.com/story/global-climate-strike,,,
61,C,NPR Online News,Immigration,https://www.allsides.com/story/ice-arrests-680-unauthorized-workers-mississippi,,,
62,C,NPR Online News,Environment,https://www.allsides.com/story/starbucks-ban-all-plastic-straws-2020,,,
63,L,Politico,Israel,https://www.allsides.com/story/24-hour-cease-fire,,,
64,L,Politico,Death penalty,https://www.allsides.com/story/botched-oklahoma-execution,,,
65,L,Politico,Foreign trade,https://www.allsides.com/story/president-trump-says-china-asked-trade-talks-resume,,,
66,R,Reason,Environment,https://www.allsides.com/story/trump-administration-proposes-plan-roll-back-clean-water-regulations,,,
67,C,Reuters,Healthcare,https://www.allsides.com/story/president-trump-unveil-executive-order-expand-medicare,https://www.reuters.com/article/us-usa-trump-healthcare/trump-to-unveil-order-aiming-to-boost-medicare-health-program-woo-seniors-idUSKBN1WI0AN,10DE6687BEFC10B879DF18A4C3C5A930,
68,C,Reuters,Death penalty,https://www.allsides.com/story/president-trump-unveils-plan-address-opioid-crisis,https://www.reuters.com/article/us-usa-trump-opioids/as-u-s-opioid-crisis-grows-trump-calls-for-death-penalty-for-dealers-idUSKBN1GV2IC,1E558D84DA01475B435AC0F6906C253F,
69,C,Reuters,Healthcare,https://www.allsides.com/story/president-trump-unveils-plan-lower-prescription-drug-prices,https://www.reuters.com/article/us-usa-trump-drugpricing/trump-assails-high-drug-prices-avoids-direct-hit-on-industry-idUSKBN1IC2C0,B077EFC2B01E02DADA97C992CF386056,
70,C,Reuters,Foreign trade,https://www.allsides.com/story/trade-war-slows-wall-street-recovers,https://www.reuters.com/article/us-usa-stocks/wall-street-rallies-after-china-trade-comments-idUSKCN1VJ1EP?il=0,BC392490D96F1E48CBF148B1C920928B,
71,C,Reuters,Federal Govt Power,https://www.allsides.com/story/white-house-announces-it-will-not-comply-impeachment-inquiry,https://www.reuters.com/article/us-usa-trump-whistleblower-letter-uncons/white-house-calls-house-impeachment-probe-unconstitutional-idUSKBN1WN2KH,B3DC7547BEB8F4F25E7DF998E7F49BD3,
72,C,Roll Call,Federal Govt Power,https://www.allsides.com/story/rep-collins-resigns-ahead-guilty-plea,,,
73,C,Roll Call,Immigration,https://www.allsides.com/story/trump-denies-family-separation-reports-blames-obama-policy,,,
74,L,The Atlantic,Healthcare,https://www.allsides.com/story/president-trump-unveils-plan-lower-prescription-drug-prices,https://www.theatlantic.com/politics/archive/2018/05/big-pharma-gets-a-big-win-from-trump/560219/,A10D4DEAC4F459DE3863C0C458395CAF,
